iter	Passed	Remaining
400	28581	113969
401	28648	113881
402	28711	113777
403	28760	113616
404	28817	113491
405	28857	113299
406	28911	113158
407	28944	112942
408	28988	112763
409	29036	112605
410	29099	112504
411	29154	112371
412	29202	112212
413	29251	112061
414	29299	111903
415	29347	111747
416	29401	111612
417	29451	111464
418	29503	111323
419	29567	111230
420	29633	111142
421	29660	110911
422	29712	110772
423	29764	110634
424	29818	110502
425	29868	110357
426	29920	110220
427	29972	110084
428	30021	109939
429	30090	109866
430	30142	109728
431	30203	109628
432	30253	109485
433	30298	109325
434	30353	109201
435	30382	108986
436	30428	108833
437	30485	108715
438	30532	108566
439	30604	108506
440	30660	108388
441	30712	108258
442	30766	108135
443	30819	108008
444	30877	107898
445	30924	107750
446	30968	107594
447	31016	107450
448	31067	107318
449	31122	107200
450	31171	107061
451	31190	106820
452	31243	106696
453	31298	106581
454	31348	106448
455	31406	106342
456	31451	106190
457	31502	106064
458	31729	106527
459	31892	106769
460	32084	107112
461	32131	106965
462	32188	106854
463	32232	106699
464	32273	106538
465	32324	106407
466	32368	106254
467	32423	106137
468	32456	105952
469	32506	105820
470	32555	105684
471	32611	105572
472	32668	105465
473	32721	105342
474	32768	105205
475	32799	105013
476	32856	104906
477	32901	104763
478	32961	104666
479	33020	104563
480	33078	104461
481	33110	104277
482	33145	104102
483	33201	103994
484	33258	103891
485	33305	103753
486	33361	103645
487	33410	103519
488	33470	103423
489	33534	103341
490	33593	103242
491	33679	103230
492	33729	103103
493	33778	102975
494	33832	102864
495	33880	102734
496	33938	102633
497	33983	102497
498	34039	102391
499	34089	102268
500	34123	102096
501	34172	101974
502	34219	101841
503	34266	101712
504	34319	101599
505	34378	101505
506	34430	101388
507	34477	101261
508	34513	101099
509	34571	101002
510	34622	100887
511	34688	100813
512	34727	100663
513	34777	100543
514	34821	100408
515	34870	100286
516	34919	100165
517	34993	100116
518	35048	100012
519	35106	99917
520	35162	99817
521	35218	99718
522	35271	99610
523	35298	99429
524	35349	99315
525	35406	99219
526	35456	99104
527	35506	98988
528	35566	98900
529	35633	98831
530	35680	98710
531	35732	98601
532	35849	98669
533	36054	98981
534	36250	99266
535	36340	99258
536	36405	99181
537	36462	99084
538	36555	99085
539	36616	98999
540	36675	98908
541	36748	98854
542	37314	100123
543	37722	100962
544	37812	100949
545	37899	100926
546	37960	100834
547	38018	100735
548	38075	100631
549	38130	100525
550	38212	100491
551	38259	100362
552	38309	100241
553	38364	100135
554	38411	100008
555	38466	99902
556	38521	99797
557	38583	99708
558	38645	99622
559	38701	99516
560	38742	99377
561	38779	99224
562	38837	99128
563	38885	99007
564	38939	98898
565	38994	98794
566	39046	98684
567	39084	98537
568	39154	98472
569	39203	98351
570	39253	98237
571	39299	98111
572	39349	97995
573	39402	97887
574	39448	97764
575	39496	97642
576	39561	97566
577	39611	97452
578	39673	97366
579	39723	97253
580	39768	97129
581	39822	97024
582	39866	96897
583	39923	96800
584	39975	96692
585	40030	96591
586	40084	96489
587	40138	96387
588	40187	96273
589	40234	96154
590	40279	96029
591	40321	95899
592	40367	95778
593	40415	95662
594	40575	95812
595	40792	96094
596	40949	96234
597	41001	96126
598	41046	96002
599	41097	95895
600	41151	95792
601	41196	95668
602	41241	95546
603	41286	95424
604	41337	95314
605	41387	95203
606	41449	95121
607	41485	94980
608	41540	94882
609	41593	94778
610	41639	94659
611	41698	94571
612	41745	94454
613	41795	94345
614	41833	94211
615	41886	94109
616	41937	94003
617	41991	93904
618	42037	93785
619	42089	93683
620	42137	93570
621	42193	93476
622	42246	93377
623	42295	93267
624	42343	93156
625	42393	93048
626	42439	92934
627	42478	92803
628	42559	92764
629	42618	92677
630	42674	92585
631	42732	92497
632	42771	92368
633	42819	92256
634	42869	92153
635	42920	92049
636	42964	91932
637	43037	91876
638	43083	91762
639	43128	91647
640	43188	91564
641	43234	91452
642	43294	91370
643	43348	91273
644	43397	91168
645	43448	91067
646	43501	90970
647	43551	90866
648	43611	90785
649	43658	90674
650	43720	90597
651	43768	90490
652	43815	90382
653	43867	90284
654	43913	90173
655	43960	90065
656	44015	89974
657	44062	89866
658	44108	89755
659	44163	89664
660	44211	89559
661	44261	89459
662	44314	89363
663	44363	89262
664	44419	89173
665	44468	89071
666	44527	88987
667	44582	88898
668	44632	88798
669	44694	88722
670	44741	88615
671	44792	88518
672	44847	88429
673	44899	88332
674	44950	88236
675	44996	88129
676	45038	88015
677	45089	87918
678	45134	87810
679	45181	87704
680	45237	87617
681	45286	87518
682	45333	87415
683	45391	87332
684	45438	87229
685	45483	87121
686	45533	87024
687	45586	86931
