iter	RMSE
216	3112.219981
217	3103.023068
218	3083.378129
219	3075.247757
220	3067.022061
221	3047.158186
222	3038.569999
223	3019.574015
224	3011.876934
225	2993.26371
226	2974.906501
227	2956.515995
228	2949.190308
229	2931.187976
230	2924.174462
231	2917.259098
232	2899.183027
233	2881.87167
234	2873.235153
235	2856.200768
236	2847.801037
237	2830.729499
238	2814.198345
239	2808.397911
240	2802.305083
241	2786.153701
242	2770.036852
243	2764.476534
244	2758.527612
245	2753.220777
246	2737.55901
247	2721.967203
248	2716.829525
249	2701.614153
250	2696.848831
251	2681.656536
252	2680.742728
253	2665.839751
254	2660.547646
255	2655.961299
256	2650.97663
257	2646.597205
258	2632.371593
259	2618.125229
260	2604.304626
261	2590.35688
262	2586.401986
263	2582.68472
264	2569.07558
265	2563.321835
266	2545.151382
267	2541.093442
268	2536.609556
269	2531.493814
270	2518.620113
271	2505.627896
272	2492.712935
273	2487.949202
274	2475.433267
275	2472.048772
276	2466.120562
277	2453.875302
278	2450.475542
279	2447.151632
280	2442.567022
281	2438.132619
282	2433.745785
283	2421.868583
284	2416.76702
285	2404.997625
286	2393.532835
287	2390.889915
288	2388.428535
289	2377.010158
290	2374.540925
291	2370.528953
292	2365.582167
293	2354.771953
294	2352.743372
295	2350.857278
296	2348.659484
297	2338.177344
298	2327.425942
299	2324.175831
300	2322.104236
301	2318.997415
302	2317.201865
303	2310.432239
304	2294.391229
305	2284.195042
306	2273.605067
307	2270.754175
308	2260.267187
309	2257.178287
310	2247.30864
311	2245.282588
312	2242.464229
313	2239.309778
314	2230.3305
315	2220.515401
316	2217.623298
317	2215.011339
318	2205.083273
319	2203.768013
320	2201.477263
321	2199.00319
322	2197.775037
323	2195.418259
324	2193.305664
325	2190.823248
326	2188.695142
327	2187.545426
328	2178.880743
329	2166.823565
330	2164.5032
331	2162.541714
332	2147.791612
333	2145.729515
334	2143.521581
335	2140.976007
336	2140.177808
337	2138.36951
338	2137.221381
339	2134.263585
340	2132.319304
341	2130.581862
342	2126.305241
343	2125.00526
344	2123.301413
345	2122.059149
346	2106.51553
347	2104.913425
348	2101.020589
349	2098.18053
350	2097.074904
351	2095.449384
352	2094.384681
353	2089.369882
354	2075.493876
355	2073.7467
356	2071.660984
357	2069.00505
358	2067.490276
359	2066.540211
360	2066.003726
361	2058.344456
362	2056.932462
363	2055.371126
364	2054.003747
365	2053.350885
366	2051.516079
367	2050.00612
368	2048.563922
369	2047.185365
370	2045.890723
371	2034.709003
372	2032.171869
373	2030.835107
374	2029.536246
375	2027.064953
376	2025.483307
377	2024.096377
378	2021.511945
379	2018.06484
380	2016.713518
381	2014.649459
382	2013.362392
383	2012.058677
384	2010.815845
385	2009.75922
386	2008.83479
387	2008.328437
388	2007.103989
389	2005.946554
390	2004.809571
391	2004.531513
392	2001.19431
393	2000.909692
394	1999.797727
395	1997.41538
396	1996.371173
397	1994.469525
398	1994.068376
399	1992.982841
400	1991.894768
401	1991.177064
402	1988.792436
403	1988.377461
404	1987.562214
405	1986.374841
406	1984.525102
407	1984.263179
408	1983.691162
409	1982.668501
410	1981.649145
411	1980.988428
412	1978.192788
413	1975.792653
414	1974.81034
415	1970.105632
416	1967.986368
417	1967.480427
418	1966.624386
419	1965.724479
420	1965.356359
421	1964.605926
422	1962.923732
423	1961.811161
424	1959.58998
425	1958.855654
426	1957.933687
427	1957.137303
428	1956.808451
429	1955.909977
430	1955.05044
431	1953.642958
432	1952.75478
433	1951.882427
434	1949.545733
435	1948.731989
436	1947.872354
437	1947.141495
438	1946.641594
439	1946.192055
440	1945.540729
441	1945.157572
442	1944.721818
443	1943.955272
444	1943.312095
445	1943.1584
446	1942.560052
447	1942.002216
448	1941.203459
449	1940.446517
450	1940.152155
451	1940.070935
452	1939.487301
453	1938.766785
454	1938.002137
455	1936.652365
456	1936.320368
457	1935.015527
458	1934.547247
459	1934.285325
460	1933.91707
461	1933.738557
462	1933.453789
463	1932.866652
464	1932.293137
465	1931.852892
466	1931.639467
467	1931.495218
468	1930.954942
469	1930.526196
470	1930.25343
471	1927.377828
472	1927.155689
473	1926.644228
474	1925.912278
475	1925.656315
476	1925.463271
477	1925.359187
478	1925.184247
479	1924.991827
480	1924.172486
481	1924.140653
482	1923.663592
483	1920.872445
484	1920.79327
485	1920.53915
486	1920.409889
487	1920.209416
488	1917.488256
489	1914.990266
490	1914.80695
491	1914.633493
492	1914.4092
493	1914.21536
494	1911.571483
495	1908.6718
496	1908.514807
497	1907.896192
498	1907.745743
499	1904.903953
500	1904.893942
501	1904.331013
502	1904.121039
503	1903.714264
504	1903.134427
505	1900.83601
506	1900.62837
507	1900.09718
508	1900.006847
509	1899.906983
510	1899.725956
511	1899.594258
512	1899.081756
513	1896.689386
514	1896.556369
515	1896.01057
516	1895.868213
517	1895.717492
518	1895.588925
519	1893.196751
520	1893.04889
521	1892.979224
522	1890.92087
523	1890.845228
524	1890.462356
525	1889.773008
526	1889.524551
527	1888.893471
528	1887.049153
529	1886.928732
530	1886.813015
531	1886.748087
532	1886.5604
533	1884.349664
534	1882.576871
535	1880.831709
536	1880.377181
537	1880.154904
538	1879.572184
539	1877.733601
540	1877.303547
541	1876.74879
542	1876.056728
543	1875.984364
544	1875.421375
545	1874.856751
546	1874.355765
547	1874.289199
548	1874.129584
549	1872.082878
550	1871.9008
551	1871.802027
552	1871.502049
553	1871.36491
554	1871.293487
555	1871.204959
556	1871.139317
557	1870.731159
558	1868.745509
559	1868.356984
560	1868.21823
561	1867.838074
562	1867.692272
563	1865.754842
564	1865.581329
565	1865.433186
566	1863.648816
567	1863.284555
568	1863.152883
569	1863.012527
570	1862.890032
571	1862.488658
572	1862.417849
573	1862.337838
574	1862.246194
575	1862.071834
576	1861.968633
577	1861.597446
578	1861.482498
579	1861.379352
580	1861.292437
581	1861.226705
582	1859.37311
583	1857.543681
584	1857.374709
585	1855.638592
586	1853.880713
587	1853.831021
588	1852.09804
589	1851.945065
590	1850.354877
591	1848.683419
592	1847.361121
593	1845.75131
594	1845.633361
595	1844.052104
596	1842.529048
597	1842.379401
598	1840.881739
599	1840.727392
600	1839.216346
601	1837.922675
602	1836.472244
603	1835.042509
604	1834.884501
605	1834.183164
606	1834.102626
607	1833.83332
608	1833.651322
609	1833.502361
610	1833.413243
611	1832.040756
612	1831.974505
613	1831.660151
614	1830.30242
615	1830.167846
616	1829.087535
617	1829.017112
618	1827.955484
619	1826.669321
620	1826.5274
621	1826.388388
622	1826.259632
623	1826.146265
624	1825.122285
625	1823.875062
626	1823.720695
627	1822.478366
628	1821.275566
629	1820.170177
630	1820.01292
631	1819.899165
632	1819.638681
633	1819.493547
634	1818.411517
635	1817.495757
636	1816.452042
637	1816.318399
638	1816.182966
639	1814.859073
640	1814.72834
641	1813.520579
642	1813.365775
643	1813.236361
644	1812.17191
645	1811.113079
646	1810.157022
647	1810.047111
648	1809.239407
649	1808.445462
650	1808.300949
651	1807.301823
652	1806.410046
653	1806.180903
654	1805.22859
655	1804.374035
656	1803.530992
657	1802.612515
658	1801.707832
659	1800.913797
660	1800.242677
661	1800.127313
662	1800.011134
663	1799.350814
664	1799.219943
665	1798.465788
666	1797.72651
667	1797.595341
668	1797.479897
669	1797.353295
670	1796.626873
671	1796.52612
672	1796.420414
673	1796.295717
674	1795.583718
675	1794.780311
676	1794.097618
677	1793.972129
678	1793.389613
679	1792.724962
680	1792.165036
681	1791.526633
682	1790.987087
683	1790.447018
684	1789.924574
685	1789.739646
686	1789.611323
687	1789.487145
688	1789.352481
689	1789.241564
690	1789.121425
691	1789.018262
692	1788.901181
693	1788.311048
694	1788.19401
695	1788.066209
696	1787.952229
697	1787.344693
698	1786.838436
699	1786.354835
700	1786.238121
701	1786.152074
702	1786.046206
703	1785.557231
704	1785.270463
705	1785.127695
706	1784.658664
707	1784.549084
708	1784.44457
709	1784.330993
710	1783.800686
711	1783.697035
712	1783.596729
713	1783.496418
714	1783.401449
715	1783.299224
716	1783.189561
717	1783.090224
718	1782.538061
719	1782.099273
720	1782.005317
721	1781.891493
722	1781.390672
723	1781.282707
724	1780.790427
725	1780.719001
726	1780.593659
727	1780.113718
728	1780.044172
729	1779.993327
730	1779.52385
731	1779.02636
732	1778.902987
733	1778.846931
734	1778.358249
735	1777.909066
736	1777.473226
737	1777.421671
738	1777.331378
739	1776.86802
740	1776.445935
741	1776.032396
742	1775.943579
743	1775.566969
744	1775.197653
745	1775.106883
746	1774.67509
747	1774.25376
748	1774.185441
749	1774.067745
750	1773.951681
751	1773.882986
752	1773.790235
753	1773.376076
754	1773.002475
755	1772.914419
756	1772.833103
757	1772.715226
758	1772.628705
759	1772.541906
760	1772.456562
761	1772.055771
762	1771.662097
763	1771.275361
764	1771.190503
765	1771.11431
766	1771.008364
767	1770.625136
768	1770.251594
769	1769.881352
770	1769.851766
771	1769.488838
772	1769.428738
773	1769.108296
774	1769.029729
775	1768.950611
776	1768.867286
777	1768.552772
778	1768.486427
779	1768.457823
780	1768.147533
781	1767.883355
782	1767.551294
783	1767.222097
784	1766.901803
785	1766.621063
786	1766.311091
787	1766.234321
788	1766.166973
789	1766.091845
790	1765.891608
791	1765.620685
792	1765.317587
793	1765.293051
794	1765.218618
795	1765.145738
796	1765.072946
797	1764.775798
798	1764.69539
799	1764.616169
800	1764.537768
801	1764.460464
802	1764.140309
803	1764.079844
804	1763.998763
805	1763.683931
806	1763.609522
807	1763.535659
808	1763.234218
809	1762.93016
810	1762.858652
811	1762.787875
812	1762.723329
813	1762.662999
814	1762.593498
815	1762.524727
816	1762.252186
817	1761.989051
818	1761.921816
819	1761.855221
820	1761.561474
821	1761.495967
822	1761.240793
823	1760.955847
824	1760.891785
825	1760.61844
826	1760.350011
827	1760.287213
828	1760.137277
829	1759.873825
830	1759.644684
831	1759.266422
832	1759.142583
833	1759.081303
834	1758.888722
835	1758.829363
836	1758.61525
837	1758.552849
838	1758.304601
839	1758.24173
840	1758.040415
841	1757.796784
842	1757.669531
843	1757.489394
844	1757.369752
845	1757.351911
846	1757.233547
847	1756.992104
848	1756.754216
849	1756.12107
850	1756.004004
851	1755.758986
852	1755.65598
853	1755.483185
854	1755.292603
855	1755.176862
856	1754.838437
857	1754.469548
858	1754.14195
859	1753.669238
860	1753.471178
861	1753.29107
862	1752.978464
863	1752.77719
864	1752.521116
865	1752.305771
866	1752.191309
867	1751.813283
868	1751.596098
869	1751.379347
870	1751.189795
871	1751.012867
872	1750.922597
873	1750.90552
874	1750.605321
875	1750.370535
876	1750.362594
877	1750.351514
878	1750.137103
879	1750.02333
880	1749.740529
881	1749.568628
882	1749.343404
883	1749.266628
884	1749.103274
885	1748.832153
886	1748.573745
887	1748.549251
888	1748.525312
889	1748.365309
890	1748.187078
891	1748.033146
892	1748.009477
893	1747.413581
894	1747.275212
895	1747.017961
896	1746.885112
897	1746.862446
898	1746.715428
899	1746.462907
900	1746.243021
901	1746.028197
902	1746.00376
903	1745.895088
904	1745.415698
905	1745.224295
906	1744.978041
907	1744.48756
908	1744.094799
909	1743.748754
910	1743.562544
911	1743.454182
912	1743.386047
913	1742.934249
914	1742.615056
915	1742.253968
916	1742.231055
917	1742.045611
918	1741.935577
919	1741.843816
920	1741.703242
921	1741.523216
922	1741.375098
923	1741.128393
924	1740.725682
925	1740.368381
926	1740.000604
927	1739.543653
928	1739.200699
929	1739.094203
930	1738.736009
931	1738.614798
932	1738.473404
933	1738.368073
934	1738.193187
935	1737.853128
936	1737.769986
937	1737.437286
938	1736.991571
939	1736.619077
940	1736.25246
941	1735.909042
942	1735.359282
943	1735.280119
944	1735.147955
945	1735.126904
946	1734.989512
947	1734.971161
948	1734.567207
949	1734.39669
950	1734.069774
951	1733.994932
952	1733.658338
953	1733.640439
954	1733.619184
955	1733.596996
956	1733.225358
957	1733.1433
958	1732.813162
959	1732.733789
960	1732.503857
961	1732.192072
962	1732.070122
963	1731.613972
964	1731.274021
965	1730.969017
966	1730.650044
967	1730.530508
968	1730.441971
969	1730.139342
970	1730.069374
971	1729.761168
972	1729.643812
973	1729.520375
974	1729.228333
975	1728.881182
976	1728.752268
977	1728.467202
978	1728.193405
979	1727.902167
980	1727.818079
981	1727.554563
982	1727.484585
983	1727.462599
984	1727.44342
985	1727.330398
986	1727.13203
987	1727.016368
988	1726.999617
989	1726.915485
990	1726.897048
991	1726.783148
992	1726.71735
993	1726.641535
994	1726.558696
995	1725.992474
996	1725.888909
997	1725.753871
998	1725.19844
999	1725.078713
1000	1724.547336
1001	1724.447995
1002	1724.111037
1003	1724.033045
1004	1723.510348
1005	1723.494875
1006	1723.479497
1007	1723.297192
1008	1723.013006
1009	1722.937872
1010	1722.821458
1011	1722.543386
1012	1722.066787
1013	1721.961766
1014	1721.848947
1015	1721.739032
1016	1721.631174
1017	1721.576351
1018	1721.281177
1019	1720.867341
1020	1720.759992
1021	1720.654797
1022	1720.598627
1023	1720.54302
1024	1720.427102
1025	1720.413575
1026	1720.358713
1027	1720.245226
1028	1720.207927
1029	1720.108054
1030	1720.093021
1031	1720.080524
1032	1720.068404
1033	1720.018792
1034	1719.921915
1035	1719.826536
1036	1719.72119
1037	1719.256969
1038	1719.217111
1039	1719.148485
1040	1719.13664
1041	1718.634929
1042	1718.52998
1043	1718.479666
1044	1718.245382
1045	1718.15433
1046	1718.105134
1047	1718.003445
1048	1717.992815
1049	1717.555228
1050	1717.544312
1051	1717.456706
1052	1716.966458
1053	1716.922782
1054	1716.837497
1055	1716.794382
1056	1716.710597
1057	1716.228329
1058	1715.924229
1059	1715.720304
1060	1715.345923
1061	1715.148243
1062	1715.06645
1063	1714.986068
1064	1714.780712
1065	1714.323166
1066	1713.873043
1067	1713.794019
1068	1713.784306
1069	1713.373375
1070	1713.320174
1071	1712.929607
1072	1712.920927
1073	1712.517811
1074	1712.278841
1075	1711.900969
1076	1711.823554
1077	1711.747645
1078	1711.659742
1079	1711.613664
1080	1711.445771
1081	1711.437366
1082	1711.428206
1083	1711.355491
1084	1711.346991
1085	1710.449973
1086	1710.08096
1087	1710.072454
1088	1709.807243
1089	1709.735498
1090	1709.343166
1091	1708.938639
1092	1708.855036
1093	1708.785995
1094	1708.705033
1095	1708.69548
1096	1708.629175
1097	1708.455502
1098	1707.58498
1099	1707.418774
1100	1707.25577
1101	1707.046738
1102	1706.889379
1103	1706.498287
1104	1706.433317
1105	1706.281112
1106	1706.122262
1107	1706.058509
1108	1705.757902
1109	1705.695557
1110	1705.634252
1111	1705.560247
1112	1705.487282
1113	1705.336319
1114	1705.069707
1115	1705.011887
1116	1704.954444
1117	1704.895293
1118	1704.674785
1119	1704.535412
1120	1704.260425
1121	1704.008821
1122	1703.955327
1123	1703.94755
1124	1703.722176
1125	1703.494211
1126	1703.363091
1127	1702.997761
1128	1702.989125
1129	1702.937972
1130	1702.800355
1131	1702.666524
1132	1702.430064
1133	1702.423228
1134	1702.209995
1135	1702.160528
1136	1695.809309
1137	1695.576944
1138	1695.456555
1139	1695.19554
1140	1695.133569
1141	1694.888334
1142	1694.670911
1143	1694.668717
1144	1694.445638
1145	1689.975196
1146	1689.973474
1147	1689.927761
1148	1689.66398
1149	1689.448275
1150	1689.446362
1151	1689.444736
1152	1689.399774
1153	1689.160021
1154	1689.115817
1155	1689.113712
1156	1688.888272
1157	1688.88588
1158	1688.550439
1159	1688.506794
1160	1688.505262
1161	1688.503922
1162	1688.302907
1163	1688.260787
1164	1688.141217
1165	1688.085785
1166	1687.965053
1167	1687.924456
1168	1687.922733
1169	1687.921296
1170	1687.725
1171	1687.531746
1172	1687.299773
1173	1686.973119
1174	1686.971682
1175	1686.93269
1176	1686.675722
1177	1686.487714
1178	1686.299014
1179	1686.297384
1180	1686.112114
1181	1685.929507
1182	1685.679002
1183	1685.677084
1184	1685.457514
1185	1685.280398
1186	1685.072285
1187	1685.070463
1188	1684.751722
1189	1684.573764
1190	1684.398379
1191	1684.22595
1192	1684.004271
1193	1683.802335
1194	1683.042555
1195	1682.872676
1196	1682.631033
1197	1682.411737
1198	1682.244004
1199	1682.02975
1200	1681.864766
1201	1681.649118
1202	1681.445266
1203	1681.437672
1204	1681.223604
1205	1681.022969
1206	1680.860482
1207	1680.700383
1208	1680.69846
1209	1680.54325
1210	1680.387642
1211	1680.237117
1212	1680.086385
1213	1679.888693
1214	1679.696461
1215	1679.490736
1216	1679.341093
1217	1678.045809
1218	1678.022116
1219	1678.02019
1220	1677.997267
1221	1677.81763
1222	1677.64202
1223	1677.464368
1224	1677.441534
1225	1677.274653
1226	1677.104768
1227	1677.082315
1228	1677.043864
1229	1677.006279
1230	1676.985174
1231	1676.948744
1232	1676.789236
1233	1676.769091
1234	1676.767356
1235	1676.609951
1236	1676.590287
1237	1676.570815
1238	1676.383409
1239	1676.381673
1240	1676.379745
1241	1676.233199
1242	1676.214205
1243	1674.063586
1244	1674.045146
1245	1673.892796
1246	1673.870878
1247	1673.853113
1248	1673.851375
1249	1673.708083
1250	1673.706345
1251	1673.163966
1252	1671.077219
1253	1671.075575
1254	1670.898772
1255	1670.896934
1256	1670.74894
1257	1670.582938
1258	1670.395151
1259	1670.374349
1260	1670.357707
1261	1670.341355
1262	1670.309232
1263	1670.164959
1264	1670.149379
1265	1670.11793
1266	1670.102543
1267	1670.087737
1268	1669.953994
1269	1669.953027
1270	1669.93851
1271	1669.937252
1272	1669.807852
1273	1669.793334
1274	1669.779396
1275	1669.765652
1276	1669.599746
1277	1669.475161
1278	1669.473128
1279	1669.352696
1280	1669.23516
1281	1669.206114
1282	1669.205339
1283	1669.086825
1284	1669.073365
1285	1668.889378
1286	1668.887635
1287	1668.859164
1288	1668.746726
1289	1668.591664
1290	1668.578782
1291	1668.565997
1292	1668.40869
1293	1668.381179
1294	1668.125422
1295	1668.108758
1296	1667.99346
1297	1667.991425
1298	1667.989293
1299	1667.878735
1300	1660.732028
1301	1660.698843
1302	1660.687262
1303	1660.65466
1304	1660.622446
1305	1660.610476
1306	1660.578456
1307	1660.550815
1308	1660.441611
1309	1660.410659
1310	1660.380485
1311	1660.350602
1312	1660.193003
1313	1660.084457
1314	1660.054666
1315	1659.956139
1316	1659.92732
1317	1659.925762
1318	1659.75488
1319	1659.657407
1320	1659.652732
1321	1659.642702
1322	1659.499645
1323	1659.400208
1324	1659.375275
1325	1659.347225
1326	1659.346446
1327	1659.248558
1328	1659.220993
1329	1659.125728
1330	1659.10196
1331	1659.100206
1332	1659.090855
1333	1659.070008
1334	1658.924369
1335	1658.897772
1336	1658.733995
1337	1658.731948
1338	1658.71178
1339	1658.563282
1340	1658.556656
1341	1658.554512
1342	1658.46223
1343	1658.453362
1344	1658.362926
1345	1658.224729
1346	1657.45459
1347	1656.90494
1348	1656.767206
1349	1656.681166
1350	1656.597169
1351	1656.470923
1352	1656.257239
1353	1656.107741
1354	1656.025765
1355	1655.893619
1356	1655.386213
1357	1655.380355
1358	1655.3744
1359	1655.369128
1360	1655.29024
1361	1655.177076
1362	1655.171412
1363	1655.165847
1364	1655.088706
1365	1655.088121
1366	1654.961759
1367	1654.956388
1368	1654.84076
1369	1654.836462
1370	1654.756377
1371	1654.687227
1372	1654.68205
1373	1654.676776
1374	1654.60479
1375	1654.485425
1376	1654.382072
1377	1654.265329
1378	1654.105098
1379	1654.039927
1380	1653.918078
1381	1653.912509
1382	1653.797589
1383	1653.792312
1384	1653.666829
1385	1653.661356
1386	1653.656273
1387	1653.544757
1388	1653.539479
1389	1653.534592
1390	1653.413488
1391	1653.408698
1392	1653.404104
1393	1653.300097
1394	1653.238218
1395	1653.233624
1396	1653.143293
1397	1653.138307
1398	1653.03399
1399	1653.028906
1400	1652.960857
1401	1652.893979
1402	1652.78554
1403	1652.780651
1404	1652.77625
1405	1652.771557
1406	1652.668097
1407	1652.580278
1408	1652.575877
1409	1652.572161
1410	1652.509179
1411	1652.410495
1412	1652.4058
1413	1652.401399
1414	1652.312882
1415	1652.230913
1416	1652.226609
1417	1652.14581
1418	1652.141702
1419	1652.053757
1420	1652.049648
1421	1652.045246
1422	1651.985472
1423	1651.892334
1424	1651.801832
1425	1651.797429
1426	1651.715142
1427	1651.712011
1428	1651.70751
1429	1651.703693
1430	1651.699877
1431	1651.696159
1432	1651.60731
1433	1651.603494
1434	1651.516108
1435	1651.418441
1436	1651.414723
1437	1651.341224
1438	1651.338484
1439	1651.334667
1440	1651.251377
1441	1651.164462
1442	1651.082241
1443	1651.079304
1444	1650.99747
1445	1650.914359
1446	1650.910933
1447	1650.907311
1448	1650.904472
1449	1650.901046
1450	1650.827426
1451	1650.824783
1452	1650.821259
1453	1650.73344
1454	1650.653351
1455	1650.581679
1456	1650.511864
1457	1650.44097
1458	1650.37722
1459	1650.373303
1460	1650.30916
1461	1650.232087
1462	1650.228757
1463	1650.164216
1464	1650.160396
1465	1650.086646
1466	1650.082043
1467	1650.002118
1468	1649.998298
1469	1649.936883
1470	1649.8738
1471	1649.870273
1472	1649.799449
1473	1649.728524
1474	1649.660534
1475	1649.592346
1476	1649.552079
1477	1649.547572
1478	1649.214322
1479	1649.131611
1480	1649.127789
1481	1649.123477
1482	1649.120047
1483	1649.116617
1484	1649.060657
1485	1644.029737
1486	1643.963528
1487	1643.89353
1488	1643.869788
1489	1643.86556
1490	1643.811437
1491	1643.787595
1492	1643.317463
1493	1643.313529
1494	1643.3093
1495	1643.244536
1496	1643.091248
1497	1643.087215
1498	1643.032673
1499	1643.029378
1500	1643.026082
1501	1642.971784
1502	1642.919697
1503	1642.855066
1504	1642.802533
1505	1642.795941
1506	1642.739963
1507	1642.162211
1508	1642.099371
1509	1642.039825
1510	1641.473199
1511	1641.422886
1512	1641.374639
1513	1641.132942
1514	1640.578267
1515	1636.610293
1516	1636.068211
1517	1635.922746
1518	1635.83971
1519	1635.786408
1520	1628.944952
1521	1628.940934
1522	1625.556203
1523	1625.478702
1524	1625.429883
1525	1625.318617
1526	1625.269892
1527	1624.760483
1528	1624.261759
1529	1623.772686
1530	1623.292974
1531	1623.244089
1532	1623.190772
1533	1616.569107
1534	1616.517919
1535	1616.386592
1536	1616.356396
1537	1613.101862
1538	1609.911924
1539	1609.727049
1540	1609.535374
1541	1606.406769
1542	1603.340956
1543	1603.076739
1544	1602.904586
1545	1599.898684
1546	1599.463647
1547	1599.037236
1548	1596.098729
1549	1596.05701
1550	1589.558861
1551	1589.519818
1552	1589.432984
1553	1589.04075
1554	1588.88564
1555	1587.966058
1556	1585.130553
1557	1582.351453
1558	1582.224696
1559	1579.501213
1560	1579.310168
1561	1579.223489
1562	1576.553664
1563	1576.465603
1564	1576.275523
1565	1573.657953
1566	1573.57579
1567	1573.393373
1568	1570.827537
1569	1568.312688
1570	1565.113195
1571	1564.736709
1572	1562.317264
1573	1561.947813
1574	1561.921479
1575	1558.579669
1576	1556.233007
1577	1552.949413
1578	1552.885668
1579	1549.633205
1580	1546.412727
1581	1546.324518
1582	1544.108333
1583	1540.94291
1584	1537.808594
1585	1534.704841
1586	1534.518277
1587	1532.404462
1588	1532.231435
1589	1532.183495
1590	1530.111186
1591	1529.98401
1592	1526.953261
1593	1526.885574
1594	1523.883343
1595	1520.898777
1596	1520.853136
1597	1517.90829
1598	1514.955105
1599	1512.06798
1600	1509.208797
1601	1506.377232
1602	1506.186891
1603	1506.031403
1604	1505.771254
1605	1502.965688
1606	1496.938613
1607	1496.814719
1608	1496.721373
1609	1493.957013
1610	1491.219987
1611	1491.151545
1612	1488.429665
1613	1486.919723
1614	1484.252095
1615	1484.071386
1616	1482.346052
1617	1482.250323
1618	1479.612398
1619	1477.01074
1620	1474.423674
1621	1474.242363
1622	1474.174612
1623	1471.612213
1624	1471.552194
1625	1471.456202
1626	1471.358007
1627	1471.182415
1628	1471.11282
1629	1471.018228
1630	1470.649029
1631	1469.261066
1632	1463.353558
1633	1462.00018
1634	1459.515846
1635	1459.348353
1636	1459.108016
1637	1458.938427
1638	1458.577694
1639	1452.618451
1640	1452.556757
1641	1446.677559
1642	1446.513663
1643	1446.413104
1644	1446.247391
1645	1443.812909
1646	1443.472357
1647	1443.377465
1648	1442.097686
1649	1439.690539
1650	1438.453715
1651	1438.405009
1652	1437.197441
1653	1434.856245
1654	1434.719217
1655	1434.624422
1656	1433.456964
1657	1433.377927
1658	1433.220912
1659	1432.079847
1660	1430.965147
1661	1429.876593
1662	1427.56777
1663	1426.51656
1664	1426.359015
